PROFILE,ACCOUNT_NUM,REGION,TITLE_ID,RESULT,SCORED,LEVEL,TITLE_TEXT,NOTES
agadir2,,ca-toronto-1,0.0,INFO,Not Scored,Support,Show report generation info,ARN:   TIMESTAMP: 2020-11-04T15:27:51+0000
agadir2,,ca-toronto-1,1.1,PASS,Scored,Level 1,[check11] Avoid the use of the root account (Scored),Root user in the account wasn't accessed in the last 1 days
